Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,CPI,CPI Change (%),Currency-Code,Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
Afghanistan,60,0.58,"652,230",32.49,149.9,0.02,AFN,4.47,19101353833,1.04,0.1,47.9,64.5,638,0.43,0.78,"38,041,754",0.49,0.09,0.71,0.11,"9,797,273"
Albania,105,0.43,"28,748",11.78,119.05,0.01,ALL,1.62,15278077447,1.07,0.55,7.8,78.5,15,1.12,0.57,"2,854,191",0.56,0.19,0.37,0.12,"1,747,593"
Algeria,18,0.17,"2,381,741",24.28,151.36,0.02,DZD,3.02,1.69988E+11,1.1,0.51,20.1,76.7,112,0.95,0.28,"43,053,054",0.41,0.37,0.66,0.12,"31,510,100"
Angola,26,0.48,"1,246,700",40.73,261.73,0.17,AOA,5.52,94635415870,1.14,0.09,51.6,60.8,241,0.71,0.33,"31,825,295",0.78,0.09,0.49,0.07,"21,061,025"
Argentina,17,0.54,"2,780,400",17.02,232.75,0.54,ARS,2.26,4.49663E+11,1.1,0.9,8.8,76.5,39,3.35,0.18,"44,938,712",0.61,0.1,1.06,0.1,"41,339,571"
Armenia,104,0.59,"29,743",13.99,129.18,0.01,AMD,1.76,13672802158,0.93,0.55,11,74.9,26,0.66,0.82,"2,957,731",0.56,0.21,0.23,0.17,"1,869,848"
Australia,3,0.48,"7,741,220",12.6,119.8,0.02,AUD,1.74,1.39268E+12,1,1.13,3.1,82.7,6,13.59,0.2,"25,766,605",0.66,0.23,0.47,0.05,"21,844,756"
Azerbaijan,123,0.58,"86,600",14,156.32,0.03,AZN,1.73,39207000000,1,0.28,19.2,72.9,26,0.47,0.79,"10,023,318",0.67,0.13,0.41,0.06,"5,616,165"
Bangladesh,"1,265",0.71,"148,460",18.18,179.68,0.06,BDT,2.04,3.02571E+11,1.17,0.21,25.1,72.3,173,0.51,0.72,"167,310,838",0.59,0.09,0.33,0.04,"60,987,417"
Barbados,668,0.23,430,10.65,134.09,0.04,BBD,1.62,5209000000,0.99,0.65,11.3,79.1,27,3.13,0.45,"287,025",0.65,0.28,0.36,0.1,"89,431"
Belgium,383,0.45,"30,528",10.3,117.11,0.01,EUR,1.62,5.29607E+11,1.04,0.8,2.9,81.6,5,10.31,0.18,"11,484,055",0.54,0.24,0.55,0.06,"11,259,082"
Belize,17,0.07,"22,966",20.79,105.68,-0.01,BZD,2.31,1879613600,1.12,0.25,11.2,74.5,36,1.65,0.23,"390,353",0.65,0.26,0.31,0.06,"179,039"
Benin,108,0.33,"112,622",36.22,110.71,-0.01,XOF,4.84,14390709095,1.22,0.12,60.5,61.5,397,0.39,0.41,"11,801,151",0.71,0.11,0.49,0.02,"5,648,149"
Botswana,4,0.46,"581,730",24.82,149.75,0.03,BWP,2.87,18340510789,1.03,0.25,30,69.3,144,0.29,0.05,"2,346,179",0.71,0.2,0.25,0.18,"1,616,550"
Brazil,25,0.34,"8,515,770",13.92,167.4,0.04,BRL,1.73,1.83976E+12,1.15,0.51,12.8,75.7,60,1.53,0.28,"212,559,417",0.64,0.14,0.65,0.12,"183,241,641"
Bulgaria,64,0.46,"110,879",8.9,114.42,0.03,BGN,1.56,86000000000,0.89,0.71,5.9,74.9,10,1.57,0.48,"6,975,761",0.55,0.2,0.28,0.04,"5,256,027"
Burkina Faso,76,0.44,"274,200",37.93,106.58,-0.03,XOF,5.19,15745810235,0.96,0.07,49,61.2,320,0.34,0.36,"20,321,378",0.66,0.15,0.41,0.06,"6,092,349"
Ivory Coast,83,0.65,"322,463",35.74,111.61,-0.01,XOF,4.65,58792205642,1,0.09,59.4,57.4,617,0.36,0.36,"25,716,544",0.57,0.12,0.5,0.03,"13,176,900"
Cape Verde,138,0.2,"4,033",19.49,110.5,0.01,CVE,2.27,1981845741,1.04,0.24,16.7,72.8,58,0.68,0.23,"483,628",0.61,0.2,0.38,0.12,"364,029"
Cameroon,56,0.21,"475,440",35.39,118.65,0.03,XAF,4.57,38760467033,1.03,0.13,50.6,58.9,529,0.35,0.7,"25,876,380",0.76,0.13,0.58,0.03,"14,741,256"
Canada,4,0.07,"9,984,670",10.1,116.76,0.02,CAD,1.5,1.73643E+12,1.01,0.69,4.3,81.9,10,9.51,0.15,"36,991,981",0.65,0.13,0.25,0.06,"30,628,482"
Chad,13,0.4,"1,284,000",42.17,117.7,-0.01,XAF,5.75,11314951343,0.87,0.03,71.4,54,1140,0.6,0.56,"15,946,876",0.71,,0.64,0.02,"3,712,273"
Chile,26,0.21,"756,096",12.43,131.91,0.03,CLP,1.65,2.82318E+11,1.01,0.89,6.2,80,13,2,0.32,"18,952,038",0.63,0.18,0.34,0.07,"16,610,135"
China,153,0.56,"9,596,960",10.9,125.08,0.03,CNY,1.69,1.991E+13,1,0.51,7.4,77,29,0.87,0.32,"1,397,715,000",0.68,0.09,0.59,0.04,"842,933,962"
Colombia,46,0.4,"1,138,910",14.88,140.95,0.04,COP,1.81,3.23803E+11,1.15,0.55,12.2,77.1,83,1.23,0.18,"50,339,443",0.69,0.14,0.71,0.1,"40,827,302"
Republic of the Congo,16,0.31,"342,000",32.86,124.74,0.02,XAF,4.43,10820591131,1.07,0.13,36.2,64.3,378,0.88,0.44,"5,380,508",0.69,0.09,0.54,0.09,"3,625,010"
Costa Rica,100,0.35,"51,100",13.97,128.85,0.02,CRC,1.75,61773944174,1.13,0.55,7.6,80.1,27,1.84,0.22,"5,047,561",0.62,0.14,0.58,0.12,"4,041,885"
Croatia,73,0.28,"56,594",9,109.82,0.01,HRK,1.47,60415553039,0.97,0.68,4,78.1,8,2.92,0.15,"4,067,500",0.51,0.22,0.21,0.07,"2,328,318"
Czech Republic,139,0.45,"78,867",10.7,116.48,0.03,CZK,1.69,2.46489E+11,1.01,0.64,2.7,79,3,3,0.15,"10,669,709",0.61,0.15,0.46,0.02,"7,887,156"
Democratic Republic of the Congo,40,0.12,"2,344,858",41.18,133.85,0.03,CDF,5.92,47319624204,1.08,0.07,68.2,60.4,473,0.18,0.37,"86,790,567",0.64,0.11,0.51,0.04,"39,095,679"
Dominican Republic,225,0.49,"48,670",19.51,135.5,0.02,DOP,2.35,88941298258,1.06,0.6,24.1,73.9,95,0.4,0.44,"10,738,958",0.64,0.13,0.49,0.06,"8,787,475"
Ecuador,71,0.22,"283,561",19.72,124.14,0,USD,2.43,1.07436E+11,1.03,0.45,12.2,76.8,59,2.46,0.44,"17,373,662",0.68,,0.34,0.04,"11,116,711"
Equatorial Guinea,50,0.1,"28,051",33.24,124.35,0.01,XAF,4.51,11026774945,0.62,0.02,62.6,58.4,301,1.05,0.72,"1,355,986",0.62,0.06,0.79,0.06,"984,812"
